record_id,general_feeling_english,challenges_english,act_impact_english,beh_adapt_english,social_english,improvements_english,change_behavior_english,glasses_use,general_feeling,challenges,act_impact,beh_adapt,social,improvements,change_behavior
KNUST_S001,Normal,"When wearing the glasses gets tiring, I take them off.",When I'm walking outside.,I usually take them off for a while.,"Yeah, most of the time.",The sensors can be made very small so that they won't be detected by people.,NA,FALSE,Normal,When Wearing the glasses get tiring I take them off,When I'm walking outside,I usually take them off for a while,"Yeah, most of the time",The sensors can be made very small that it won't be detected by people,NA
KNUST_S002,It felt uncomfortable once in a while but it was generally fine.,"I tried not to fall asleep with them on, and that sometimes can be uncomfortable.",Not applicable.,Does not apply.,Yes. On some occasions I would get people staring at me when I have the glasses on. That was so uncomfortable too.,There should be a notification on the app if the button is pressed for guidance.,NA,FALSE,it felt uncomfortable once in a while but it was generally fine,I tried not to fall asleep with them on that sometimes can be uncomfortable,not applicable,does not apply,yes.On some occasions I would get people staring at me when I have the glasses on that was so uncomfortable tooh,there should be a notification on the app if the button is pressed for guidance,NA
KNUST_S003,Felt normal,No discomfort or challenge to report,It did not negatively impact my daily activities,None to report,Yes,The only suggestion is the sensor be made a bit smaller than it is currently,NA,FALSE,Felt normal,no discomfort or challenge to report,It did not negatively impact my daily activities,none to report,Yes,The only suggestion is the sensor be made a bit smaller than it is currently,NA
KNUST_S004,quite normal,"There were a lot of stares at the start, but I got used to it eventually.",none,There was not much adaptation.,Yes.,Make the sensor smaller and stylish to not attract much attention.,NA,FALSE,quite normal,"there were a lot of stares at the start, but i got used to it eventually",none,there was not much adaptation,yes,make the sensor smaller and stylish to not attract much attention,NA
KNUST_S005,It didn't always feel comfortable because I am not used to wearing glasses in general.,Wearing the light glasses for long felt uncomfortable at times and a little heavy. I coped by taking it off at times for some minutes.,None,None,"Yes, people were curious and asked about the light glasses.",The light glasses can be made a bit lighter so it doesn't feel heavy after wearing for while.,NA,FALSE,It didn't always feel comfortable because I am not used to wearing glasses in general,Wearing the light glasses for long felt uncomfortable at times and a little heavy.  I coped by taking it off at times for some minutes,None,None,"Yes, people were curious and asked about the light glasses",The light glasses can be made a bit lighter so it doesn't feel heavy after wearing for while,NA
KNUST_S006,"I felt like I had become a new person with new glasses, because wherever I went, people would stare at me and ask me questions. The feeling was normal since I knew the relevance of what I was wearing.","On Tuesday, I went to a secondary school where all the students and teachers were staring at me and I was really uncomfortable with it, but I focused on the relevance and went through with confidence. And on Thursday too, I was taking public transport where entering with the light glasses on was difficult, but I managed to enter. And on Saturday, because I had worn them for so long, they were slipping to the edge of my nose, so I needed to push them back most of the time.","On Thursday, I went to seek a marking opportunity to earn some money, and the officials were not comfortable with me wearing the glasses. It took me a lot of words to make them feel comfortable about it, and though it almost cost me the opportunity, it was finally okay and I got it.","I increased in confidence, because my friends like to tease a lot, and to overcome this, I developed more confidence. On Tuesday, I was around Kejetia market and some boys approached me to ask about the glasses and the other items. They thought it was a camera for spying on them, but I confidently explained to them what it was. It was a serious moment. So my adaptation was to increase my confidence and focus on the aim, because I knew the end was more important than those moments.","Yes there was. I was in front of a bank on Tuesday, and the security men came to ask about the glasses and I explained to them what I knew about it. On Thursday, at the opportunity I went to seek, there were many people and most of them asked me questions about the glasses. It was funny and interesting to them when they heard about it. They even gave me the nickname 'Digital Digital'.","I would suggest that the light sensor be made smaller and the position should be at the edges if possible, thank you.",NA,FALSE,"I felt like I have become a new person with a new glasses, because wherever you pass people will be staring at you and asking you questions. The feeling was normal since I knew the relevance of what I am wearing.","On Tuesday I went to a secondary school where all the students and teachers were staring at me and I was really uncomfortable with it, but I focused on the relevances and went through with confidence.    And on Thursday too, I was taking a public transport where entering with the light glasses on was difficult, but I managed to enter.    And on Saturday, because I had worn it for long, it was slipping to the edge of my nose, so i needed to be pushing it back most times.","So on Thursday, I went to seek for a marking opportunity that I can earn by it, and the officials were not comfortable with me wearing it, and it took me plenty words to make them cool down on it, though it reached the edge of me not been given the opportunity, but it was finally okay and I got it.","I increased in confidence, because the friends that I am with like teasing a lot, and for me to overcome this, I developed more confidence.    So on Tuesday, I was around Kejetia market and the Boys around came to me to ask about the glasses and the other items, they thought it was a camera that I have to spy them, but I confidently explained it to them, but it was a kinda serious moment.    so the adaptation was by me increasing in confidence and focusing on the aim, because I knew the end is better than those moments.","Yes there was.  I was Infront of a bank on Tuesday, and the security men came to me to ask about the glasses and I explained to them what I knew about it.    On Thursday, the opportunity that I went to seek, the people that came was plenty and most of them asked me questions about it.    And it was funny for them and also interesting to them when they hear about it. that I even got a name from them as ""Digital Digital"".","I would suggest that the light sensor be made smaller and the position should be at the edges if that is possible, thank you.",NA
KNUST_S007,confident,Sometimes my ears were in pain due to the heavy glasses.,It had no impact on my daily activities.,No opinions.,No.,Can you make the handle a little tighter and the glasses lighter?,NA,FALSE,confident,sometime my ear were in pain due to heavy glass,it had no Impact on my daily activities,no opinions,no,can you make the handle a little tighter and the glass a lighter,NA
KNUST_S008,"I felt a bit uncomfortable, especially in the midst of people staring.","Anytime I tried to do work by bending down my head, the spectacles tended to fall off because of the weight.","When I am walking in the sun, it gives me some kind of shield and comfort.","I was setting an alarm to wake me up early in the morning to upload my files. Initially, I would just sleep and wake up without an alarm.","Yes, when I wear the glasses in my vicinity, people tend to murmur and whisper among themselves without approaching to know what it is about. Those who have the courage approach and ask about it. After I explain to them, it breeds some interest in them to have a feel of the device.",The sensors should be made a bit smaller to prevent unnecessary attention.,NA,TRUE,I felt a bit uncomfortable especially in the midst of people staring,"Anytime I try to do work by bending down my head , the spectacles tend to remove because of the weight","When I am walking in the sun ,it gives me some kind of shield and comfort","I was setting an alarm to wake me up early in the morning to upload my files. Initially, I would just sleep and wake up without alarm","Yes, when I wear the glasses in my vicinity ,people tend to murmur and whisper among themselves without approaching to know what it is about. Those who would get the courage would also approach you and ask about it . After explaining to them, it breeds some interest in them to have a feel of the device",The sensors should be made a bit smaller to prevent unnecessary attention,NA
KNUST_S009,I was okay,It was uncomfortable and heavy on my nose sometimes,Walking in public places,Did nothing,Yes,Could be made unnoticeable a little,NA,FALSE,I was okay,It was uncomfortable and heavy on my nose sometimes,Walking in public places,Did nothing,Yes,Could be made unnoticeable a little,NA
KNUST_S010,It felt nice to be engaged in such an experiment.,I experienced ear pain where the glasses were. To cope with that I wore a scarf and pushed the glasses inside instead of letting it rest on my ears.,When walking to my destination I could see people looking at me which rarely happens.,I would smile at them when I noticed they were looking.,Quite a few interactions. People stared and often smiled at me because of the glasses I was wearing.,An improvement for the design of the glasses should be made. The glasses can look normal with inbuilt light sensor to make those who wear it more comfortable.,NA,FALSE,It felt nice to be engaged in such an experiment.,I experienced ear pain where the glasses were. To cope with that I wore a scarf and pushed the glasses inside instead of letting it rest on my ears.,When walking to my destination I could see people looking at me which rarely happens.,I would smile at them when I noticed they were looking.,Quite a few interactions. People stared and often smiled at me because of the glasses I was wearing.,An improvement for the design of the glasses should be made. The glasses can look normal with inbuilt light sensor to make those who wear it more comfortable.,NA
