record_id,Datetime,loc_spec,descr,identity_spec,future_use,loc_spec_english,descr_english,identity_spec_english,future_use_english
KNUST_S001,2024-10-09T09:49:00Z,NA,Great feeling. In my office. Working on PC. Feeling joyful,NA,I'm motivated to keep wearing it,NA,Great feeling. In my office. Working on PC. Feeling joyful.,NA,I'm motivated to keep wearing it
KNUST_S001,2024-10-11T10:15:00Z,NA,A colleague was curious about the purpose of the light glasses. Occurred at my workplace. I was working.,NA,It won't affect the use of the glasses negatively. I am still motivated to wear the glases,NA,A colleague was curious about the purpose of the light glasses. Occurred at my workplace. I was working.,NA,It won't affect the use of the glasses negatively. I am still motivated to wear the glasses.
KNUST_S001,2024-10-13T17:03:00Z,NA,A stranger was curious about the purpose of the light glasses. I was outside buying groceries.,NA,I'm still motivated to wear the glasses,NA,A stranger was curious about the purpose of the light glasses. I was outside buying groceries.,NA,I'm still motivated to wear the glasses.
KNUST_S002,2024-10-16T20:01:00Z,NA,I was going to buy food and on the way I met a friend who asked me what I'm wearing.I explained it was for a research study and at first when I saw her I felt a little bit shy and nervous,NA,i would continue to wear it if necessary,NA,I was going to buy food and on the way I met a friend who asked me what I'm wearing. I explained it was for a research study and at first when I saw her I felt a little bit shy and nervous.,NA,I would continue to wear it if necessary.
KNUST_S003,2024-10-22T08:18:00Z,NA,My colleagues at work were fascinated about the device when I got to work. They wanted to know what it was for. The feeling was positive.,NA,not affect my future use at all,NA,My colleagues at work were fascinated about the device when I got to work. They wanted to know what it was for. The feeling was positive.,NA,It will not affect my future use at all.
KNUST_S003,2024-10-22T19:16:00Z,NA,A friend was curious to know about the device and why I was wearing that. It was a neutral feeling,NA,it will have no effect on my future use,NA,A friend was curious to know about the device and why I was wearing that. It was a neutral feeling.,NA,It will have no effect on my future use.
KNUST_S003,2024-10-23T13:59:00Z,NA,I was asked what the glasses was for at work by one patient. It was a neutral feeling,NA,no influence on my future use,NA,I was asked what the glasses were for at work by one patient. It was a neutral feeling.,NA,No influence on my future use.
KNUST_S003,2024-10-27T08:43:00Z,NA,one church member asked what the glasses was for. It was a neutral feeling for me,NA,it won't influence my future use,NA,One church member asked what the glasses were for. It was a neutral feeling for me.,NA,It won't influence my future use.
KNUST_S003,2024-10-27T11:03:00Z,NA,A church member asked what it was and what it was for. It was a neutral feeling,NA,have no influence on my future use,NA,A church member asked what it was and what it was for. It was a neutral feeling.,NA,Have no influence on my future use.
KNUST_S004,2024-10-29T12:37:00Z,NA,walk in the park on KNUST campus. Alot of people keep staring at me,NA,no influence at all,NA,walk in the park on KNUST campus. A lot of people keep staring at me.,NA,no influence at all
KNUST_S004,2024-11-01T14:04:00Z,NA,"at the office, colleagues asked about light glasses, and seems to be interested in the study",NA,no influence,NA,"At the office, colleagues asked about the light glasses and seemed to be interested in the study.",NA,No influence.
KNUST_S005,2024-11-10T09:05:00Z,NA,"On my way to church, a friend asked about the glasses I was wearing and was curious to know about it. I felt excited explaining what the glasses, necklace and wrist watch was about",NA,It was a positive feedback so I will continue to use the light glasses,NA,"On my way to church, a friend asked about the glasses I was wearing and was curious to know about it. I felt excited explaining what the glasses, necklace and wrist watch was about.",NA,It was a positive feedback so I will continue to use the light glasses.
KNUST_S005,2024-11-10T09:24:00Z,NA,"At church, 2 church members asked about the light glasses and why I was wearing it with the wrist watch and necklace. It was a nice experience telling them about the study I was in",NA,I feel I should wear it more since I am getting positive feedbacks from people,NA,"At church, 2 church members asked about the light glasses and why I was wearing it with the wrist watch and necklace. It was a nice experience telling them about the study I was in.",NA,I feel I should wear it more since I am getting positive feedbacks from people.
KNUST_S006,2024-11-12T08:26:00Z,NA,"so I was Infront of Access Bank at Ayeduase waiting to take a public transport, and the security personnel asked about why all the items I'm wearing, and I explained to him that it's a research project that I have volunteered for, and it on the measurement of the light exposure that we get through our daily lives. The feeling was expected so it was normal",I gave a feedback to the question the security personnel of Access Bank asked.,it is building my confidence in the reasons why I am wearing it,NA,"I was in front of Access Bank at Ayeduase waiting to take public transport when a security personnel asked me about why I was wearing the items. I explained that it was part of a research project I volunteered for, measuring daily light exposure. The interaction felt normal and as expected.",I responded to the question asked by the security personnel of Access Bank.,This experience is building my confidence in the reasons why I am wearing the light glasses.
KNUST_S006,2024-11-12T10:57:00Z,NA,"A certain guy asked me about the light glasses at kejetia, whether it's a camera or something else, I responded no, and he asked me whether I am media personnel investigating in something, i replied no and told him it's a research project.",NA,It is building my confidence in reasons why I should keep wearing it.,NA,"A certain guy asked me about the light glasses at Kejetia, whether it's a camera or something else. I responded no, and he asked me whether I am media personnel investigating something; I replied no and told him it's a research project.",NA,It is building my confidence in reasons why I should keep wearing it.
KNUST_S006,2024-11-13T12:30:00Z,NA,"so I was visited by a friend today in my room and immediately he saw me, he was like what are you wearing, are you now a camera man, and it was funn, sobi laughed.",NA,it's becoming normal to me with the wearing,NA,"So I was visited by a friend today in my room and immediately he saw me, he was like, 'What are you wearing? Are you now a camera man?' and it was funny, so we laughed.",NA,It's becoming normal to me wearing them.
KNUST_S006,2024-11-14T13:58:00Z,NA,"The person asked me if it's a camera and what it does, I explained to her than it's not a camera rather,  an instrument measuring the intensity of light I'm exposed to.",NA,Im becoming familiar with it.,NA,"The person asked me if it's a camera and what it does. I explained to her that it's not a camera, but rather an instrument measuring the intensity of light I'm exposed to.",NA,I'm becoming familiar with it.
KNUST_S006,2024-11-15T16:30:00Z,NA,"The guy inquired about what the glasses and the others does, I explained to him that it's measuring light intensity that I'm exposed to and made him aware it's a research project I have volunteered for. He shew interest in it decided to volunteer too if there's a chance.",NA,it makes me feel like I'm doing something that is new to people and that joy in it is there.,NA,"The guy inquired about what the glasses and the others do, I explained to him that it measures the light intensity I am exposed to and made him aware it's a research project I have volunteered for. He showed interest in it and decided to volunteer too if there's a chance.",NA,It makes me feel like I'm doing something that is new to people and there is joy in that.
KNUST_S006,2024-11-15T16:40:00Z,NA,"So the lady asked me the intention behind me wearing this and the reason why they have be at the position I'm wearing them, and I answered that, it's a research project but I couldn't really tell tge reason behind the positions I'm wearing them, but I told her maybe that's how it supposed to be.",NA,it's prompting me to learn more about it.,NA,"A lady asked me the intention behind wearing the light glasses, and why they had to be in the position I was wearing them. I answered that it was for a research project, but I couldn't really explain the reason behind the positions. I told her maybe that's how it's supposed to be.",NA,It is prompting me to learn more about it.
KNUST_S008,2024-11-26T07:55:00Z,NA,I was walking around in my area and people started staring and giggling,NA,I will get the opportunity to explain and educate the public about it,NA,I was walking around in my area and people started staring and giggling.,NA,I will get the opportunity to explain and educate the public about it.
